timestamp_coleta,T_MF4_IN,T_MF4_OUT,T_MM2_IN,T_MM2_OUT,T_BOILER100,T_BOILER200,T_IN,Sinal_Vazao1
2025-05-20 21:10:01.185988,27.4,26.27,26.8,27.24,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:02.272001,20.26,26.93,27.3,27.21,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:03.322954,22.19,26.23,27.41,27.14,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:04.456358,26.97,27.04,27.47,27.6,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:05.710347,27.42,26.08,27.23,27.57,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:06.819433,25.38,27.06,27.6,27.13,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:08.093688,21.67,26.22,27.91,27.38,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:09.299766,27.51,25.76,26.7,27.84,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:10.607782,22.8,26.39,27.64,27.04,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:11.669395,26.83,26.01,27.05,27.79,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:12.877066,29.99,26.27,27.05,27.25,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:14.191249,23.1,26.46,27.01,27.09,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:15.279695,24.19,26.04,26.92,27.21,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:16.454836,29.16,27.04,26.94,26.95,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:18.381340,26.57,25.99,27.08,27.77,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:19.462903,28.56,26.1,27.66,27.5,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:20.739151,23.54,27.22,27.81,27.62,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:21.728631,22.01,27.24,27.47,27.29,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:22.828975,19.46,27.06,27.63,27.42,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:24.099615,29.94,26.18,27.38,27.23,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:25.204834,20.97,27.66,27.92,26.96,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:26.666178,26.73,25.86,27.36,27.49,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:28.308379,27.3,26.38,27.21,26.95,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:29.500402,27.46,26.88,27.29,27.13,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:30.765289,24.45,27.29,27.83,27.11,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:31.900933,21.35,27.45,27.61,27.12,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:33.506071,27.39,27.35,27.44,27.23,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:34.494416,20.91,26.02,27.76,27.21,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:35.684532,29.53,26.43,27.03,26.96,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:37.189848,25.05,26.16,26.95,27.43,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:38.646611,25.1,27.08,27.6,27.1,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:39.763592,21.88,26.44,27.23,26.98,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:41.030025,29.01,25.82,26.85,27.72,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:42.273948,21.86,26.18,27.9,27.47,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:43.553912,22.19,26.05,27.38,27.6,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:44.692224,27.36,26.22,26.76,27.61,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:45.690078,25.62,26.92,27.44,27.24,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:46.964646,29.43,26.05,26.97,27.44,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:47.949289,22.89,27.57,27.91,26.98,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:48.962063,22.17,27.32,27.8,27.1,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:50.045065,22.59,27.82,27.66,26.94,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:51.182554,26.39,26.99,27.29,27.52,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:52.305869,27.36,26.67,27.34,27.26,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:53.784667,24.59,27.41,27.82,26.93,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:55.000634,27.35,26.67,26.74,27.81,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:56.233838,22.02,26.14,27.86,27.45,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:57.321414,27.99,26.61,27.18,27.12,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:58.410667,21.94,27.61,27.42,27.12,-100.0,-100.0,-100.0,1.0
2025-05-20 21:10:59.678133,24.24,26.32,26.97,27.69,-100.0,-100.0,-100.0,1.0
2025-05-20 21:11:00.766818,22.61,26.07,27.71,27.5,-100.0,-100.0,-100.0,1.0
2025-05-20 21:11:01.695653,20.69,26.35,27.83,27.48,-100.0,-100.0,-100.0,1.0
2025-05-20 21:11:03.345948,25.7,25.98,26.81,27.81,-100.0,-100.0,-100.0,1.0
2025-05-20 21:11:04.648119,27.47,26.93,27.26,27.07,-100.0,-100.0,-100.0,1.0
2025-05-20 21:11:05.732222,23.93,26.12,26.97,27.7,-100.0,-100.0,-100.0,1.0
2025-05-20 21:11:06.748364,22.7,26.68,27.53,27.01,-100.0,-100.0,-100.0,1.0
2025-05-20 21:11:07.912739,27.11,26.33,27.76,27.73,-100.0,-100.0,-100.0,1.0
2025-05-20 21:11:09.201355,22.21,27.8,27.15,26.87,-100.0,-100.0,-100.0,1.0
2025-05-20 21:11:10.418539,26.33,26.93,27.11,27.1,-100.0,-100.0,-100.0,1.0
2025-05-20 21:11:11.318488,28.27,26.73,26.97,27.14,-100.0,-100.0,-100.0,1.0
2025-05-20 21:11:12.367260,26.8,27.04,27.38,27.09,-100.0,-100.0,-100.0,1.0
2025-05-20 21:11:13.504139,26.68,25.95,27.04,27.76,-100.0,-100.0,-100.0,1.0
2025-05-20 21:11:14.955129,22.54,26.68,27.15,27.0,-100.0,-100.0,-100.0,1.0
2025-05-20 21:11:16.214014,22.28,27.39,27.8,27.4,-100.0,-100.0,-100.0,1.0
2025-05-20 21:11:17.452499,23.7,26.41,27.29,26.95,-100.0,-100.0,-100.0,1.0
